Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF,['Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts'],Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts,"['Distributor, Issuer and Broker Dealer are   individually referred to as a ""Party"" and collectively as the ""Parties""', 'Issuer', 'Distributor', '(collectively ""Broker Dealer"")', 'ABC Company', 'Principal Life Insurance Company', 'Princor Financial Services Corporation', '_______________________ and its duly licensed insurance affiliates indicated on the signature page of this   Agreement']","Principal Life Insurance Company (""Issuer"", individually referred to as a “Party” and collectively with Distributor and Broker Dealer as the “Parties”); Princor Financial Services Corporation (""Distributor"", individually referred to as a “Party” and collectively with Issuer and Broker Dealer as the “Parties”); ABC Company and its duly licensed insurance affiliates indicated on the signature page of this   Agreement (collectively “Broker Dealer”, individually referred to as a “Party” and collectively with Issuer and Distributor as the “Parties”)","['this ______ day of ________________, 2013,']",[]/[]/2013,"['this ______ day of ________________, 2013']",[]/[]/2013,[],,[],,[],,['This Agreement shall be governed by and construed in accordance with the laws of the State of Iowa.'],Iowa
"Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF",['AMENDED AND RESTATED REMARKETING AGREEMENT'],AMENDED AND RESTATED REMARKETING AGREEMENT,"['Reinsurance Group of America, Incorporated', 'together, the ""Issuers""', 'Barclays', 'Trust', 'RGA Capital Trust I', 'Barclays Capital Inc.', 'Company', 'Remarketing Agent']","Reinsurance Group of America, Incorporated (""Company"", together with the Trust, the ""Issuers""); RGA Capital Trust I (""Trust"", together with the Company, the ""Issuers""); Barclays Capital Inc. (""Barclays"", ""Remarketing Agent"")","['February 15, 2011']",2/15/11,[],,"['In addition, the obligations of the Remarketing Agent  hereunder may be terminated by it by notice given to the Company prior to 5:00 p.m. (New York City time) on the date immediately preceding the  Commencement Date if, prior to that time, any of the events described in Sections 6(i), (j) or (k) shall have occurred.', 'This Agreement shall terminate (i) the Business Day immediately following the Remarketing Settlement Date, (ii) at 5:00  p.m., New York City time, on the last date of the Remarketing if the Remarketing is not successful or (iii) on the effective date of the resignation or  removal of the Remarketing Agent and the appointment of a new Remarketing Agent.']",perpetual,[],,[],,"['This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York.']",New York
"SightLife Surgical, Inc. - STRATEGIC SALES & MARKETING AGREEMENT.PDF",['STRATEGIC SALES & MARKETING AGREEMENT'],STRATEGIC SALES & MARKETING AGREEMENT,"['Imprimis Pharmaceuticals, Inc.', 'Imprimis', 'SightLife Surgical, Inc.', 'Surgical']","SightLife Surgical, Inc. (“Surgical”); Imprimis Pharmaceuticals, Inc. (“Imprimis”)",['4/28/2017'],4/28/17,"['This Agreement shall be effective on the later of the dates that it is executed by Imprimis and Surgical (the ""Effective Date"") and shall terminate pursuant to the terms of the SOW (the ""Term"").<omitted>4/28/2017', 'The Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to this Agreement or extended by mutual agreement between the parties, shall continue in effect for thirty six (36) months following the Effective Date (the ""Term"").']",4/28/17,"['The Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to this Agreement or extended by mutual agreement between the parties, shall continue in effect for thirty six (36) months following the Effective Date (the ""Term"").', 'This Agreement shall be effective on the later of the dates that it is executed by Imprimis and Surgical (the ""Effective Date"") and shall terminate pursuant to the terms of the SOW (the ""Term"").']",4/28/20,[],,[],,"['This Agreement shall be governed by and construed in accordance with the laws of the State of California, excluding  the choice of law rules, and the parties hereby agree to submit to the jurisdiction and venue of the State and Federal courts  of the State of California, and agree that the State and Federal courts of the State of California shall be the exclusive forum for the resolution of all disputes related to or arising out of this Agreement.']",California
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.PDF","['MANUFACTURING, DESIGN AND MARKETING AGREEMENT (t']","MANUFACTURING, DESIGN AND MARKETING AGREEMENT (t","['Subcontractor and Manufacturer may also be referred to herein individually as ""Party"" or collectively as the ""Parties"".', 'Subcontractor', 'InnerScope Hearing Technologies, Inc.', 'Zounds Hearing, Inc.', '""Manufacturer"")']","Zounds Hearing, Inc. (""Subcontractor”); InnerScope Hearing Technologies, Inc. (""Manufacturer); Subcontractor and Manufacturer (individually as “Party” or collectively as the “Parties"")","['October 3, 2018']",10/3/18,"['October 3, 2018']",10/3/18,"['Subject to earlier termination as provided in this Agreement, the initial term of this Agreement shall be for a period beginning on the Effective Date and ending ten (10) years thereafter unless this Agreement is terminated earlier as provided herein.']",10/3/28,['This Agreement will renew automatically thereafter for successive one-year terms unless and until one Party gives notification of termination with at least sixty (60) days written notice.'],successive 1 year,['This Agreement will renew automatically thereafter for successive one-year terms unless and until one Party gives notification of termination with at least sixty (60) days written notice.'],60 days,"['The Parties agree that this Agreement shall be governed by and construed in accordance with the laws of the State of Arizona without regard to conflicts of law provisions thereof or any other applicable law and that exclusive venue shall be in the federal or state courts located in Maricopa County, Arizona.']",Arizona
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.PDF,['Sponsorship Agreement'],Sponsorship Agreement,"['NPC', 'NCB', 'National Processing Company', 'National City Bank of Kentucky']","National Processing Company, (""NPC""); National City Bank of Kentucky, (""NCB"")",[],,"['June 30, 1996']",6/30/96,['The term of this Agreement shall be five years commencing on the Effective Date and ending at the close of business on the fifth anniversary of the Effective Date.'],6/30/01,['This Agreement shall automatically renew for successive one-year terms unless one party gives the other party written notice of non-renewal at least six months prior to automatic renewal.'],successive 1 year,['This Agreement shall automatically renew for successive one-year terms unless one party gives the other party written notice of non-renewal at least six months prior to automatic renewal.'],6 months,"['This Agreement and its interpretation shall be governed by the laws of the United States and, to the extent not inconsistent therewith, by the laws of the Commonwealth of Kentucky without regard to conflicts of laws rules.']",Kentucky
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['(""SLD"")', 'American Champion Media, Inc.', 'the ""Event""', 'ACM', 'Shun Li De Commerce & Trading Ltd']","American Champion Media, (""ACM""); Shun Li De Commerce & Trading Ltd, (""SLD"")","['April 14, 2000']",4/14/00,[],,[],,[],,[],,"['This Agreement shall be governed by, and construed and enforced in accordance with, the laws of the State of California and the laws of Hong Kong.']",California; Hong Kong
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['Sabco', 'SABCO RACING, INC.', 'Prolong', 'Prolong Super Lubricants']","SABCO RACING, INC. (""Sabco""); Prolong Super Lubricants (""Prolong"")",['19th day of December 1997'],12/19/97,[],,['The term of this Agreement shall commence with the first race             ----- of the 1998 Winston Cup season and shall continue until the final race of the  year-2000 Winston Cup season.'],,[],,[],,['This Agreement shall be            ------------------------------------- governed by and construed in accordance with the substantive laws of the State  of North Carolina.'],North Carolina
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['Excite', 'Excite, Inc.', 'NetGrocer, Inc.', 'NetGrocer']","Excite, Inc. (""Excite""); NetGrocer, Inc.(""NetGrocer"")","['15th day of December, 1997']",12/15/97,"['15th day of December, 1997']",12/15/97,"[""The term of this Agreement will begin on December 15, 1997                   and will end the later of (i) December 15, 1999 or (ii)                   Excite's delivery of all of the guaranteed Click-throughs                   described in Section 1(f).""]",12/15/99,[],,[],,"['This Agreement will be governed by and                   construed in accordance with the laws of the State of                   California, notwithstanding the actual state or country of                   residence or incorporation of NetGrocer.']",California
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['the ""Sponsor""', 'C.M. OLIVER & COMPANY LIMITED', 'HEALTHCARE CAPITAL CORP.', 'the ""Issuer""']","HEALTHCARE CAPITAL CORP. (""Issue""); C.M. OLIVER & COMPANY LIMITED (""Sponsor"")","['March 13, 1996']",3/13/96,[],,"['This Agreement shall  terminate and,  subject to the provisions set forth below, be of no further  force or effect on the exercise by the Sponsor of its right to terminate  this Agreement as provided in subsection  6.2,  provided that, in any event,  sections  3, 7 and 8 and, in the event that such  termination  occurs by virtue of paragraph  6.2(b),  subsection 2.5 shall not terminate  (except as set forth  therein)  and shall  continue in full force and effect for the benefit of the Sponsor or the other parties to this Agreement, as the case may be.']",perpetual,[],,[],,"['This Agreement  will be governed by the law of British  Columbia and the parties attorn to the  non-exclusive  jurisdiction of the courts of British Columbia for the resolution of all disputes arising in connection with this Agreement.', 'This  Agreement is governed by, and will be construed in  accordance  with,  the laws of British Columbia, Canada.']","British Columbia,Canada"
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['SAN DIEGO BALLPARK FUNDING LLC SPONSOR', ""Rubio's Fresh Mexican Grill""]",SAN DIEGO BALLPARK FUNDING LLC; Rubio's Fresh Mexican Grill,['3/21/08'],3/21/08,"['The term (the ""Term"") shall commence on November 1, 2007 and end on October 31, 2008 (unless terminated earlier in accordance with the General Provisions).']",11/1/07,"['The term (the ""Term"") shall commence on November 1, 2007 and end on October 31, 2008 (unless terminated earlier in accordance with the General Provisions).']",10/31/08,[],,[],,['This Agreement shall be interpreted and enforced according to the laws of the State of California without regard to principles of conflict of laws.'],California
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['Tickets', 'MP3.com, Inc.,', 'MP3.com', 'Tickets.com, Inc.,']","Tickets.com Inc. ""Tickets""; MP3.com Inc. ""MP3.com""","['February 17, 1999']",2/17/99,"['February 17, 1999']",2/17/99,"[""This Agreement shall commence on the Effective Date and shall remain in full force and effect until one (1) year subsequent to the Effective Date, provided however, that Tickets may terminate this Agreement for any reason upon thirty (30) days' notice to MP3. com at any time prior to the expiration of sixty (60) days subsequent to the Effective Date.""]",2/17/00,"['Furthermore, for a thirty (30) day period, beginning thirty (30) days prior to the first anniversary of this Agreement, Tickets shall have the right to renew the Agreement for another year with Sponsor Fees that do not exceed a [***] percent increase over the existing Sponsor Fees.']",,[],,['This Agreement shall be governed by and construed in accordance with the laws of the State of California without reference to conflict of law principles thereof.'],California
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.PDF",['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['ANTHEMIC', 'ANTHEMIC, LLC', 'Sponsor""', 'VNUE INC']","ANTHEMIC, LLC (""ANTHEMIC""); VNUE INC (the ""Sponsor"")","['June 23, 2015']",6/23/15,"['JUNE 23, 2015']",6/23/15,"['This term of this Agreement commences on the Effective Date and terminates on August 2nd, 2015 upon completion of event.']",8/2/15,[],,[],,['This Agreement is to be governed and construed according to the laws of the State of California without regard to conflicts of law.'],California
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",['Reseller Agreement'],Reseller Agreement,"['PivX', 'Detto Technologies', 'Detto', 'PivX Corporation']","PivX Corporation (""PivX""); Detto Technologies (""Detto"")","['this ___ day of _________, 2004']",[]/[]/2004,"['this ___ day of _________, 2004']",[]/[]/2004,['The term of this Agreement shall commence on the Effective Date and continue for six (6) months.'],[]/[]/2004,[],,[],,"['This Agreement shall be governed by and construed under the laws of the State of California, excluding conflict of laws provisions and excluding the 1980 United Nations Convention on Contracts for the International Sale of Goods.']",California
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.PDF,['RESELLER AGREEMENT'],RESELLER AGREEMENT,"['2205925 Ontario Limited', 'Diversinet', 'Diversinet Corp.', 'Reseller']","Diversinet Corp. (""Diversinet""); 2205925 Ontario Limited (the ""Reseller"")","['January 11, 2011']",1/11/11,"['January 11, 2011']",1/11/11,"['The term of this Agreement shall begin on the Effective Date and continue in effect for a period of five (5) years (the ""Initial Term""), unless sooner  terminated in accordance with the provisions set out herein.']",1/11/16,"['Upon expiration of the Initial Term, this Agreement shall automatically renew for  consecutive one (1) year periods, unless terminated by Reseller within sixty (60) days prior to the expiration of the Initial Term or any renewal term,  as the case may be (the Initial Term and each renewal term, collectively, the ""Term"").']",successive 1 year,"['Upon expiration of the Initial Term, this Agreement shall automatically renew for  consecutive one (1) year periods, unless terminated by Reseller within sixty (60) days prior to the expiration of the Initial Term or any renewal term,  as the case may be (the Initial Term and each renewal term, collectively, the ""Term"").']",60 days,"['This Agreement shall be governed by the laws of the province of Ontario, Canada, without regard to its conflict of laws principles.']","Ontario, Canada"
